trip,block_id
2Ul1BLUE7Q8,1-4
2Ul1BLUE7R8,1-21
2Ul1BLUE7V8,1-33
2Ul1BLUE7Z8,1-8
2Ul1BLUE7a8,1-36
2Ul1BLUE7d8,74-1
2Ul1BLUE7h8,1-38
2Ul1BLUE7i8,1-50
2Ul1BLUE7l8,1-1
2Ul1BLUE7o8,1-32
2Ul1BLUE7p8,1-41
2Ul1BLUE7s8,1-24
2Ul1BLUE7w8,1-16
2Ul1BLUE7x8,1-23
2Ul1BLUE838,1-31
2Ul1BLUE878,1-20
2Ul1BLUE888,1-25
2Ul1BLUE8B8,1-45
2Ul1BLUE8F8,1-35
2Ul1BLUE8G8,1-2
2Ul1BLUE8K8,1-49
2Ul1BLUE8O8,1-7
2Ul1BLUE8P8,1-43
2Ul1BLUE8S8,1-26
2Ul1BLUE8W8,15-2
2Ul1BLUE8X8,1-48
2Ul1BLUE8a8,1-6
2Ul1BLUE8e8,1-34
2Ul1BLUE8f8,1-10
2Ul1BLUE8i8,1-47
2Ul1BLUE8m8,1-30
2Ul1BLUE8n8,1-12
2Ul1BLUE8r8,70-5
2Ul1BLUE8w8,1-37
2Ul1BLUE8x8,1-3
2Ul1BLUE938,1-14
2Ul1BLUE978,1-40
2Ul1BLUE988,8-21
2Ul1BLUE9D8,1-5
2Ul1BLUE9Hw,1-51
2Ul1BLUE9Iw,162-2
2Ul1BLUE9Nw,1-44
2Ul1BLUE9Tw,1-29
2Ul1BLUE9Uw,1-39
2Ul1BLUE9Zw,1-22
2Ul1BLUE9ew,1-9
2Ul1BLUE9fw,1-41
2Ul1BLUE9kw,1-27
2Ul1BLUE9qw,1-46
2Ul1BLUE9rw,1-28
2Ul1BLUE9ww,1-13
2Ul1BLUEA4w,1-33
2Ul1BLUEA5w,140-2
2Ul1BLUEAAw,1-42
2Ul1BLUEAGw,1-50
2Ul1BLUEAHw,145-5
2Ul1BLUEAMw,1-8
2Ul1BLUEASw,1-16
2Ul1BLUEATw,8-33
2Ul1BLUEAYw,1-38
2Ul1BLUEAew,1-45
2Ul1BLUEAfw,1-15
2Ul1BLUEAkw,1-23
2Ul1BLUEAqw,1-43
2Ul1BLUEAww,1-2
2Ul1BLUEB4w,1-6
2Ul1BLUEBAw,1-7
2Ul1BLUEBGw,1-30
2Ul1BLUEBMw,1-10
2Ul1BLUEBSw,1-3
2Ul1BLUEBYw,1-12
2Ul1BLUEBew,1-5
2Ul1BLUEBkw,1-37
2Ul1BLUEBqw,1-44
2Ul1BLUEBww,1-51
2Ul1BLUEC4w,1-22
2Ul1BLUECAw,1-39
2Ul1BLUECGw,1-27
2Ul1BLUECMw,1-9
2Ul1BLUECSw,1-13
2Ul1BLUECYw,1-46
2Ul1BLUECew,1-42
2Ul1BLUECkw,1-33
2Ul1BLUECqw,1-8
2Ul1BLUECww,1-50
2Ul1BLUED48,1-38
2Ul1BLUEDA8,1-16
2Ul1BLUEDG8,1-23
2Ul1BLUEDM8,1-45
2Ul1BLUEDS8,1-2
2Ul1BLUEDZ8,1-43
2Ul1BLUEDf8,1-7
2Ul1BLUEDl8,1-6
2Ul1BLUEDs8,1-10
2Ul1BLUEE08,1-30
2Ul1BLUEE68,1-12
2Ul1BLUEEC8,1-3
2Ul1BLUEEI8,1-37
2Ul1BLUEEO8,1-5
2Ul1BLUEEU8,1-51
2Ul1BLUEEa8,1-44
2Ul1BLUEEg8,1-39
2Ul1BLUEEm8,1-22
2Ul1BLUEEs8,1-9
2Ul1BLUEF08,177-2
2Ul1BLUEF18,1-58
2Ul1BLUEF78,1-27
2Ul1BLUEFC8,1-46
2Ul1BLUEFD8,1-61
2Ul1BLUEFI8,1-13
2Ul1BLUEFM8,1-63
2Ul1BLUEFN8,1-33
2Ul1BLUEFP8,1-52
2Ul1BLUEFT8,1-42
